PACKET_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN
19,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,31281,0,FALSE,FALSE,FALSE,1460
18,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,29821,0,FALSE,FALSE,FALSE,1460
17,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,28361,0,FALSE,FALSE,FALSE,1460
20,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,32741,0,FALSE,FALSE,FALSE,1460
19,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,31281,0,FALSE,FALSE,FALSE,1460
18,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,29821,0,FALSE,FALSE,FALSE,1460
17,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,28361,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,29821,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,29821,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,29821,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,29821,FALSE,TRUE,FALSE,0
21,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,34201,0,FALSE,FALSE,FALSE,1460
20,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,32741,0,FALSE,FALSE,FALSE,1460
19,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,31281,0,FALSE,FALSE,FALSE,1460
18,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,29821,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,31281,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,31281,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,31281,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,31281,FALSE,TRUE,FALSE,0
22,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,35661,0,FALSE,FALSE,FALSE,1460
21,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,34201,0,FALSE,FALSE,FALSE,1460
20,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,32741,0,FALSE,FALSE,FALSE,1460
19,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,31281,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,32741,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,32741,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,32741,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,32741,FALSE,TRUE,FALSE,0
23,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,37121,0,FALSE,FALSE,FALSE,1460
22,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,35661,0,FALSE,FALSE,FALSE,1460
21,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,34201,0,FALSE,FALSE,FALSE,1460
20,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,32741,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,34201,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,34201,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,34201,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,34201,FALSE,TRUE,FALSE,0
24,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,38581,0,FALSE,FALSE,FALSE,1460
23,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,37121,0,FALSE,FALSE,FALSE,1460
22,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,35661,0,FALSE,FALSE,FALSE,1460
21,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,34201,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,35661,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,35661,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,35661,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,35661,FALSE,TRUE,FALSE,0
25,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,40041,0,FALSE,FALSE,FALSE,1460
24,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,38581,0,FALSE,FALSE,FALSE,1460
23,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,37121,0,FALSE,FALSE,FALSE,1460
22,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,35661,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,37121,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,37121,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,37121,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,37121,FALSE,TRUE,FALSE,0
26,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,41501,0,FALSE,FALSE,FALSE,1460
25,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,40041,0,FALSE,FALSE,FALSE,1460
24,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,38581,0,FALSE,FALSE,FALSE,1460
23,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,37121,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,38581,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,38581,FALSE,TRUE,FALSE,0
